id,created_on,operation,property_type,neighbourhood,lat,lon,price,surface_total_in_m2,surface_covered_in_m2,floor,rooms,expenses
55b9412c63a6b0f5e47e9393c8292710f4b35f1d,2017-09-02,sell,apartment,Saavedra,-34.554242,-58.4915489,198000,110,93,,4,
3854c0068b9468895467a82435fa185ebe172efa,2017-09-02,sell,apartment,Palermo Chico,-34.5821848,-58.4015403,1050000,243,227,,7,
678933f5706f1bccfaf5c57f7a0aba07643cb715,2017-09-02,sell,apartment,Belgrano,-34.5664346,-58.434099,820000,181,171,,4,
3986204762800fea9efe111de0e1c93f3e4b68c2,2017-09-02,sell,apartment,Nuñez,-34.5482229,-58.4558864,1800000,400,260,,4,
47412468cddcd02936b5d13fe294cfd77310e73e,2017-09-02,sell,house,Belgrano,-34.5667748,-58.4456771,1320000,,440,,,
2256a7cd34c06be16b5dda46aee79aa7cb7a862c,2017-09-02,sell,apartment,San Cristobal,-34.6244262,-58.3973636,110000,35,31,,1,
d5b9f78301b2bf8a5efd1157bc69dbf5be8f6aae,2017-09-02,sell,apartment,Palermo Hollywood,-34.5816865,-58.4308266,465000,82,78,,3,
2962fd3cb45b8a4f18456cd9516d45e6adbb57ed,2017-09-02,sell,apartment,Villa Devoto,-34.6015686,-58.5048758,415000,118,114,,4,
b0a0f352149e52178a5342cdf7e7e3d9444f1402,2017-09-02,sell,PH,Parque Chacabuco,-34.6359102,-58.4373115,380000,266,168,,7,
717d0478fb9b7cff81eefe0f24edd60dc5675a12,2017-09-02,sell,apartment,Palermo Soho,,,285000,53,43,,2,
29bfa1cd26c71fc14a131358b7d5f5fc752d2545,2017-09-02,sell,apartment,Recoleta,-34.5959583,-58.3898493,370000,136,136,,4,
4ab9014efaed8abd0770e5efee191f749a7a63bf,2017-09-02,sell,apartment,Barrio Norte,-34.5959583,-58.3898493,370000,136,136,,4,
52fed07b2019fd80ece664485c418d7bc6cdc9a7,2017-09-02,sell,apartment,Caballito,-34.6228982,-58.4484313,199000,70,70,,3,
9dadc338303a9103e0a5fc01da78d580ae8ffa52,2017-09-02,sell,apartment,San Nicolás,-34.6051062,-58.3847968,87000,44,44,,2,
